Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
39.2,21.9,69,85,458,0,1,electrical/clothing
39.2,21.9,69,84,462,0,1,electrical/clothing
39.2,21.9,69,84,463,0,1,electrical/clothing
39.1,21.9,69,91,471,0,1,electrical/clothing
39.1,21.9,69,81,463,0,1,electrical/clothing
39.1,21.9,69,85,463,0,1,electrical/clothing
39.1,21.9,69,90,466,0,1,electrical/clothing
39.1,21.9,70,81,460,0,1,electrical/clothing
39.1,21.9,69,81,459,0,1,electrical/clothing
39.1,21.9,69,80,460,0,1,electrical/clothing
39.0,21.9,69,87,460,0,1,electrical/clothing
39.0,21.9,70,86,460,0,1,electrical/clothing
39.0,21.9,70,83,461,0,1,electrical/clothing
39.0,21.9,69,83,458,0,1,electrical/clothing
39.0,22.0,69,86,459,0,1,electrical/clothing
39.0,21.9,70,86,452,0,1,electrical/clothing
39.0,21.9,69,79,449,0,1,electrical/clothing
39.0,22.0,69,79,450,0,1,electrical/clothing
39.0,22.0,69,84,459,0,1,electrical/clothing
39.0,22.0,69,84,465,0,1,electrical/clothing
39.0,22.0,69,83,466,0,1,electrical/clothing
39.0,21.9,69,88,458,0,1,electrical/clothing
39.0,22.0,69,88,454,0,1,electrical/clothing
39.0,22.0,69,88,456,0,1,electrical/clothing
39.0,22.0,70,83,460,0,1,electrical/clothing
39.0,21.9,69,85,454,0,1,electrical/clothing
39.0,21.9,69,84,456,0,1,electrical/clothing
39.0,21.9,69,87,457,0,1,electrical/clothing
39.0,21.9,69,83,459,0,1,electrical/clothing
39.1,22.0,70,80,458,0,1,electrical/clothing
39.0,21.9,69,89,458,0,1,electrical/clothing
39.0,22.0,69,85,455,0,1,electrical/clothing
39.0,21.9,69,82,457,0,1,electrical/clothing
39.1,22.0,69,88,454,0,1,electrical/clothing
39.0,21.9,70,82,456,0,1,electrical/clothing
39.1,22.0,69,81,450,0,1,electrical/clothing
39.0,21.9,69,89,456,0,1,electrical/clothing
39.0,21.9,70,85,452,0,1,electrical/clothing
39.0,21.9,70,86,447,0,1,electrical/clothing
39.0,21.9,70,80,448,0,1,electrical/clothing
39.0,21.9,70,82,444,0,1,electrical/clothing
39.0,21.9,70,82,450,0,1,electrical/clothing
39.0,21.9,70,81,450,0,1,electrical/clothing
39.0,21.9,70,85,451,0,1,electrical/clothing
39.1,22.0,70,75,442,0,1,electrical/clothing
39.0,21.9,70,83,450,0,1,electrical/clothing
39.1,22.0,70,79,450,0,1,electrical/clothing
39.1,22.0,70,83,448,0,1,electrical/clothing
39.1,22.0,69,79,443,0,1,electrical/clothing
39.0,21.9,69,77,446,0,1,electrical/clothing
39.0,21.9,70,79,440,0,1,electrical/clothing
39.0,22.0,70,84,442,0,1,electrical/clothing
39.0,22.0,70,78,443,0,1,electrical/clothing
39.0,22.0,70,77,440,0,1,electrical/clothing
39.0,22.0,70,78,449,0,1,electrical/clothing
39.1,22.0,70,75,446,0,1,electrical/clothing
39.1,22.0,69,72,443,0,1,electrical/clothing
39.0,21.9,70,79,449,0,1,electrical/clothing
39.0,22.0,69,78,443,0,1,electrical/clothing
39.0,22.0,70,72,436,0,1,electrical/clothing
39.0,22.0,70,77,444,0,1,electrical/clothing
39.0,22.0,69,72,444,0,1,electrical/clothing
39.0,22.0,69,73,441,0,1,electrical/clothing
39.0,22.0,69,77,441,0,1,electrical/clothing
39.0,22.0,69,77,445,0,1,electrical/clothing
39.0,22.0,70,79,458,0,1,electrical/clothing
39.0,21.9,70,76,445,0,1,electrical/clothing
39.0,22.0,70,82,451,0,1,electrical/clothing
39.0,22.0,70,79,448,0,1,electrical/clothing
